General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,888,20.79622322,120.748266,0.00052637,0.17000834,0.999058,1.005559,73.77493,-0.0053,100.4962,0,277.57,345.058,346.291,1022.318,0,0
,,889,20.79817989,121.653842,0.00043164,0.16852077,0.999514,1.005727,73.696659,-0.0053,100.4957,0,277.564,345,346.23,1022.338,0,0
,,890,20.79847889,125.738592,0.00040796,0.16730081,1.000961,1.005864,73.515352,-0.0053,100.4955,0,277.566,344.952,346.171,1022.335,0,0
,,891,20.79781373,127.598898,0.00041591,0.16642776,1.001258,1.005963,73.564064,-0.0052,100.4968,0,277.56,344.868,345.998,1022.363,0,0
,,892,20.79790103,122.911771,0.00045151,0.16544902,1.000476,1.006065,73.640168,-0.0052,100.4971,0,277.574,344.774,345.911,1022.363,0,0
,,893,20.7998456,121.717272,0.00051319,0.16464103,0.999929,1.006129,73.68646,-0.0052,100.4971,0,277.564,344.719,345.848,1022.366,0,0
,,894,20.80059581,122.030766,0.00056474,0.1637498,0.99984,1.006195,73.718105,-0.0052,100.4974,0,277.559,344.663,345.777,1022.302,0,0
,,895,20.80222779,123.747502,0.00062819,0.16271853,1.000716,1.006254,73.71458,-0.0053,100.497,0,277.552,344.606,345.689,1022.122,0,0
,,896,20.80388826,120.383523,0.00075068,0.16176998,1.001411,1.006264,73.680896,-0.0054,100.4982,0,277.563,344.523,345.649,1022.038,0,0
,,897,20.8051407,129.901063,0.00086133,0.16090284,1.001854,1.006287,73.58665,-0.0054,100.4969,0,277.553,344.438,345.576,1022.296,0,0
,,898,20.80575785,125.704949,0.00097911,0.16031326,1.002779,1.006303,73.668596,-0.0054,100.4959,0,277.538,344.381,345.56,1022.346,0,0
,,899,20.80780746,123.506293,0.00104775,0.15950761,1.001734,1.006284,73.465143,-0.0053,100.496,0,277.537,344.289,345.452,1022.362,0,0
,,900,20.80997279,123.439383,0.0011023,0.15858507,1.002407,1.006284,73.540319,-0.0052,100.4961,0,277.542,344.211,345.378,1022.372,0,0
,,901,20.81039165,126.374031,0.00116876,0.15753015,1.001059,1.006229,73.371479,-0.0053,100.4961,0,277.534,344.141,345.324,1022.351,0,0
,,902,20.81161711,120.990915,0.00124991,0.15693448,1.00139,1.006171,73.470198,-0.0052,100.4954,0,277.546,344.07,345.249,1022.342,0,0
,,903,20.81142558,125.565749,0.00139266,0.15618751,1.001753,1.006144,73.355134,-0.0052,100.4968,0,277.544,344.037,345.195,1022.331,0,0
,,904,20.8132742,118.678463,0.00152379,0.1557121,1.001352,1.006045,73.165417,-0.0053,100.4976,0,277.527,343.995,345.159,1022.305,0,0
,,905,20.8141295,123.664956,0.00165055,0.15515442,1.001568,1.005938,73.279505,-0.0053,100.4961,0,277.518,343.912,345.071,1022.308,0,0
,,906,20.81435761,127.090901,0.00172044,0.15430561,1.002142,1.005851,73.313868,-0.0053,100.4962,0,277.532,343.869,345.034,1022.288,0,0
,,907,20.81579234,126.822263,0.00172921,0.15326476,1.002004,1.005717,73.453042,-0.0053,100.4965,0,277.529,343.797,344.926,1022.27,0,0
,,908,20.81573803,122.279704,0.00173164,0.1523909,1.00148,1.005606,73.381555,-0.0053,100.4966,0,277.503,343.696,344.794,1022.267,0,0
,,909,20.81534563,127.471934,0.00175627,0.15221286,1.001889,1.005492,73.426946,-0.0054,100.4966,0,277.512,343.617,344.7,1022.246,0,0
,,910,20.81571176,131.206986,0.0018276,0.15165918,1.001396,1.005327,73.454121,-0.0054,100.497,0,277.536,343.524,344.585,1022.23,0,0
,,911,20.81616774,124.868108,0.00183387,0.15092201,1.001371,1.005183,73.390928,-0.0054,100.4967,0,277.522,343.441,344.486,1022.226,0,0
,,912,20.81647112,122.798586,0.00187606,0.15020868,1.001383,1.005023,73.491166,-0.0054,100.4973,0,277.52,343.366,344.402,1022.215,0,0
,,913,20.81780723,124.641889,0.00192354,0.14926318,1.002133,1.004823,73.362728,-0.0054,100.4974,0,277.519,343.308,344.352,1022.2,0,0
,,914,20.81762482,123.642835,0.00196332,0.14841278,1.001966,1.004649,73.242502,-0.0055,100.4968,0,277.525,343.255,344.293,1022.191,0,0
,,915,20.8189043,122.397968,0.00206178,0.14770835,1.001503,1.004471,73.304051,-0.0055,100.497,0,277.522,343.18,344.169,1022.178,0,0
,,916,20.8197841,125.529369,0.00209401,0.14708481,1.002008,1.004251,73.440258,-0.0054,100.4967,0,277.527,343.077,344.012,1022.17,0,0
,,917,20.82172793,125.010975,0.00213443,0.14660658,1.001035,1.004062,73.284641,-0.0054,100.4966,0,277.511,342.977,343.873,1022.17,0,0
,,918,20.82377659,121.734431,0.00215857,0.14562243,1.000335,1.003851,73.474629,-0.0055,100.4972,0,277.501,342.892,343.752,1022.189,0,0
,,919,20.82552946,121.516451,0.00218962,0.144607,0.998829,1.003627,73.259987,-0.0055,100.4972,0,277.505,342.816,343.684,1022.181,0,0
,,920,20.82528853,122.907448,0.00226929,0.14388166,0.999927,1.003432,73.133272,-0.0053,100.4978,0,277.503,342.751,343.588,1022.199,0,0
,,921,20.82680208,125.968982,0.00231858,0.14324714,0.998911,1.003147,73.158194,-0.0052,100.4966,0,277.498,342.683,343.502,1022.214,0,0
,,922,20.82771509,125.51008,0.00237854,0.14296008,0.999793,1.002903,73.369841,-0.0053,100.4959,0,277.499,342.629,343.444,1022.207,0,0
,,923,20.82961649,128.002068,0.00246083,0.14221062,0.998797,1.002671,73.230412,-0.0053,100.4962,0,277.49,342.572,343.434,1022.217,0,0
,,924,20.83149234,128.473227,0.00256071,0.14121938,1.000711,1.002433,73.179525,-0.0052,100.4968,0,277.495,342.524,343.389,1022.226,0,0
,,925,20.83170189,123.758881,0.00264051,0.14057544,1.000738,1.002236,73.161634,-0.0052,100.4951,0,277.492,342.468,343.297,1022.247,0,0
,,926,20.83114757,123.964593,0.0027324,0.13983259,1.000108,1.002015,73.104028,-0.0053,100.4958,0,277.487,342.4,343.197,1022.247,0,0
,,927,20.83273266,124.492947,0.002844,0.13919963,0.999078,1.001798,73.320688,-0.0053,100.4963,0,277.49,342.311,343.049,1022.25,0,0
,,928,20.83362252,130.171138,0.00292111,0.13882349,0.998129,1.001617,73.055569,-0.0039,100.4959,0,277.484,342.23,342.978,1022.264,0,0
,,929,20.83389931,128.103787,0.00296556,0.13818686,0.998718,1.001395,73.184553,-0.0049,100.4951,0,277.478,342.164,342.934,1022.259,0,0
,,930,20.83543318,129.974015,0.00300312,0.13719858,0.998769,1.001177,73.076866,-0.0052,100.4954,0,277.46,342.102,342.798,1022.278,0,0
,,931,20.83547661,131.401604,0.0030451,0.13639109,0.998646,1.000995,73.168102,-0.0052,100.4964,0,277.473,342.016,342.672,1022.281,0,0
,,932,20.83648676,125.711369,0.00313939,0.13551414,0.99868,1.000783,73.073539,-0.0051,100.4962,0,277.46,341.946,342.615,1022.276,0,0
,,933,20.83713436,127.469818,0.00317664,0.13512936,0.998655,1.000589,73.011426,-0.0053,100.4965,0,277.454,341.899,342.535,1022.26,0,0
,,934,20.83914193,125.98625,0.0032338,0.13478425,0.999283,1.000754,73.023542,-0.0053,100.497,0,277.475,341.828,342.476,1022.263,0,0
,,935,20.83978974,119.847362,0.00322707,0.13403423,1.000375,1.001368,73.347185,-0.0053,100.4969,0,277.465,341.739,342.361,1022.264,0,0
,,936,20.84083983,125.243467,0.00321067,0.13311558,1.000359,1.002152,73.086868,-0.0052,100.4962,0,277.459,341.659,342.256,1022.26,0,0
,,937,20.8411374,123.656858,0.003214,0.13268844,1.001301,1.002866,73.113092,-0.0052,100.4965,0,277.458,341.629,342.32,1022.255,0,0
,,938,20.84074876,126.195952,0.00322781,0.13203135,1.003235,1.003529,73.202822,-0.0052,100.4964,0,277.436,341.623,342.295,1022.264,0,0
,,939,20.84170585,125.485741,0.00331625,0.13155843,1.00321,1.004199,73.181887,-0.0051,100.4968,0,277.451,341.565,342.236,1022.265,0,0
,,940,20.8433223,125.87109,0.00331603,0.13095876,1.00291,1.004767,73.212147,-0.0053,100.4964,0,277.451,341.516,342.228,1022.262,0,0
,,941,20.84526954,122.619412,0.00340876,0.13007625,1.002845,1.005346,72.972643,-0.0051,100.4972,0,277.44,341.474,342.168,1022.277,0,0
,,942,20.84560807,121.173102,0.00349866,0.12935903,1.005062,1.005935,73.317601,-0.0052,100.4968,0,277.448,341.432,342.119,1022.271,0,0
,,943,20.84504825,123.837499,0.00358919,0.12881445,1.005928,1.006446,73.095301,-0.0052,100.4968,0,277.434,341.374,342.092,1022.268,0,0
,,944,20.84472543,121.305098,0.00373295,0.12824403,1.006069,1.006978,72.900496,-0.0052,100.4962,0,277.453,341.328,342.056,1022.279,0,0
,,945,20.84514649,123.10403,0.00379768,0.12813257,1.005976,1.007496,72.869952,-0.0051,100.4956,0,277.44,341.307,342.025,1022.294,0,0
,,946,20.84553105,124.350832,0.00385255,0.12783581,1.007136,1.007936,72.979864,-0.0052,100.4957,0,277.446,341.249,341.954,1022.302,0,0
,,947,20.84705982,126.96965,0.00384324,0.12706205,1.007563,1.00837,72.893864,-0.0053,100.4964,0,277.457,341.209,341.897,1022.307,0,0
,,948,20.84745149,121.745705,0.00389468,0.12650811,1.007215,1.008785,72.89717,-0.0054,100.4957,0,277.458,341.153,341.849,1022.306,0,0
,,949,20.84690696,128.484526,0.00398004,0.12575161,1.007596,1.009143,72.955126,-0.0052,100.4957,0,277.467,341.073,341.78,1022.305,0,0
,,950,20.84830933,126.349391,0.00404653,0.12512018,1.007564,1.009541,72.89084,-0.0054,100.4953,0,277.477,341.047,341.768,1022.297,0,0
,,951,20.84919549,129.888381,0.0040981,0.12469957,1.008323,1.009883,72.889515,-0.0055,100.4957,0,277.471,341.015,341.75,1022.286,0,0
,,952,20.84956732,126.966707,0.00414827,0.1246034,1.00944,1.010209,72.881891,-0.0053,100.4958,0,277.471,340.964,341.642,1022.279,0,0
,,953,20.85113002,124.318757,0.00420251,0.12366944,1.009764,1.010552,72.932685,-0.0052,100.4956,0,277.456,340.875,341.54,1022.28,0,0
,,954,20.85129826,122.202502,0.00427999,0.12276816,1.010303,1.010792,72.95733,-0.0052,100.4953,0,277.46,340.786,341.447,1022.282,0,0
,,955,20.85067614,123.986917,0.0044133,0.12249769,1.010413,1.011069,72.818178,-0.0052,100.495,0,277.466,340.741,341.432,1022.285,0,0
,,956,20.85213674,125.813768,0.0045487,0.12195522,1.010547,1.01132,72.962709,-0.0052,100.4945,0,277.469,340.734,341.466,1022.287,0,0
,,957,20.85315773,124.807452,0.00463991,0.12154271,1.010539,1.011527,72.65725,-0.0052,100.4949,0,277.448,340.688,341.405,1022.296,0,0
,,958,20.85439232,124.267645,0.00475264,0.1208212,1.010524,1.011719,72.967182,-0.0053,100.4952,0,277.453,340.668,341.356,1022.307,0,0
,,959,20.85530503,126.909188,0.00482877,0.12033913,1.011887,1.011889,73.393989,-0.0053,100.4952,0,277.48,340.646,341.344,1022.3,0,0
,,960,20.85660088,127.426189,0.00490068,0.11953357,1.009754,1.012015,72.800376,-0.0053,100.4955,0,277.464,340.615,341.316,1022.279,0,0
,,961,20.85646208,120.444938,0.00494251,0.11897014,1.011353,1.012145,72.615268,-0.0053,100.4944,0,277.457,340.564,341.288,1022.29,0,0
,,962,20.85801306,124.025299,0.00503002,0.11874097,1.011295,1.012225,72.731856,-0.0052,100.4939,0,277.454,340.503,341.22,1022.293,0,0
,,963,20.85905874,126.826223,0.00508991,0.11842288,1.011815,1.012255,72.945324,-0.0052,100.4939,0,277.447,340.44,341.153,1022.35,0,0
,,964,20.859407,124.294954,0.00514997,0.1176871,1.012552,1.012321,72.645744,-0.0053,100.4937,0,277.46,340.416,341.174,1022.345,0,0
,,965,20.86002908,122.74006,0.00520072,0.11723278,1.012378,1.012307,72.786636,-0.0052,100.4934,0,277.446,340.407,341.169,1022.268,0,0
,,966,20.86065935,125.900823,0.00522925,0.11639316,1.012396,1.012284,72.990044,-0.0053,100.4931,0,277.44,340.348,341.117,1022.256,0,0
,,967,20.86190412,125.960739,0.00531563,0.1159952,1.012883,1.012297,72.742615,-0.0054,100.494,0,277.449,340.284,341.093,1022.255,0,0
,,968,20.86262515,123.8619,0.0054113,0.11579251,1.012468,1.012212,72.467173,-0.0052,100.4944,0,277.461,340.245,341.09,1022.24,0,0
,,969,20.86461274,122.99234,0.00547437,0.11593963,1.011651,1.01214,72.511535,-0.0053,100.4938,0,277.458,340.183,341,1022.244,0,0
,,970,20.86529432,125.385544,0.00552761,0.11514825,1.010476,1.012039,72.631658,-0.0053,100.4941,0,277.445,340.164,340.953,1022.248,0,0
,,971,20.86641091,123.885269,0.00563825,0.11474654,1.011202,1.011872,72.406154,-0.0053,100.4946,0,277.456,340.103,340.939,1022.244,0,0
,,972,20.8665598,124.692215,0.00575245,0.11424007,1.011421,1.01172,72.643822,-0.0052,100.4947,0,277.435,340.043,340.846,1022.262,0,0
,,973,20.86623258,129.21989,0.0058543,0.11394409,1.012123,1.011552,72.763771,-0.0054,100.4949,0,277.454,339.973,340.808,1022.262,0,0
,,974,20.86665466,128.15181,0.00596264,0.11417401,1.012116,1.011322,72.780549,-0.0053,100.4945,0,277.432,339.921,340.721,1022.259,0,0
,,975,20.86710565,122.416333,0.00602211,0.11374748,1.012086,1.011105,72.481188,-0.0053,100.4951,0,277.439,339.883,340.672,1022.283,0,0
,,976,20.86723255,125.046309,0.00601861,0.11338856,1.011746,1.010848,72.698634,-0.0053,100.4952,0,277.46,339.849,340.653,1022.284,0,0
,,977,20.86702783,122.24779,0.00607263,0.11316829,1.010996,1.010554,72.855914,-0.0053,100.495,0,277.46,339.792,340.606,1022.291,0,0
,,978,20.86648567,127.835602,0.00615857,0.1130955,1.010662,1.010261,72.642816,-0.0054,100.4943,0,277.445,339.759,340.574,1022.325,0,0
,,979,20.8662261,124.227066,0.00626629,0.11320875,1.010592,1.009898,72.685711,-0.0052,100.4946,0,277.432,339.72,340.539,1022.317,0,0
,,980,20.86676871,124.372145,0.00634661,0.11350941,1.010298,1.009544,72.648656,-0.0052,100.4945,0,277.436,339.679,340.537,1022.326,0,0
,,981,20.86562456,126.437046,0.00640338,0.11308441,1.009863,1.009198,72.769948,-0.0053,100.4938,0,277.44,339.65,340.495,1022.341,0,0
,,982,20.86531371,123.374339,0.00651874,0.11274343,1.009706,1.008807,72.580906,-0.0054,100.4943,0,277.434,339.593,340.477,1022.332,0,0
,,983,20.86501126,125.306158,0.00662837,0.11190325,1.007336,1.008404,72.743963,-0.0053,100.4938,0,277.439,339.55,340.392,1022.318,0,0
,,984,20.8629382,125.910458,0.00682306,0.11157711,1.007797,1.008019,72.660518,-0.0052,100.4941,0,277.435,339.513,340.312,1022.318,0,0
,,985,20.86373266,123.798539,0.00704976,0.11097213,1.007892,1.007514,72.647794,-0.0052,100.4939,0,277.435,339.452,340.27,1022.303,0,0
,,986,20.86478589,127.285613,0.00724059,0.11044905,1.007993,1.007003,72.523547,-0.0052,100.4939,0,277.44,339.422,340.255,1022.298,0,0
,,987,20.86519155,127.386346,0.00737781,0.10978944,1.007116,1.006442,72.719506,0.0015,100.4948,0,277.435,339.42,340.267,1022.289,0,0
,,988,20.86524613,126.264722,0.00753177,0.10917392,1.006836,1.00587,72.300705,-0.0037,100.4943,0,277.428,339.388,340.223,1022.294,0,0
,,989,20.86652063,127.354757,0.00764646,0.10853381,1.005384,1.005302,72.342787,-0.0052,100.4944,0,277.436,339.33,340.139,1022.293,0,0
,,990,20.86624061,125.112075,0.00773323,0.10776179,1.005522,1.004639,72.724537,-0.0053,100.4933,0,277.431,339.253,340.062,1022.27,0,0
,,991,20.86788655,126.12699,0.00777315,0.10730036,1.005411,1.003987,72.410587,-0.0052,100.4944,0,277.43,339.17,339.921,1022.277,0,0
,,992,20.86884215,121.821934,0.00769227,0.10711452,1.003524,1.003315,72.558096,-0.0051,100.4936,0,277.439,339.102,339.868,1022.264,0,0
,,993,20.87067167,124.475084,0.00754261,0.10652988,1.003729,1.002579,72.604294,-0.0052,100.4942,0,277.445,339.043,339.771,1022.255,0,0
,,994,20.8710737,125.673466,0.0074422,0.10568417,1.003065,1.001824,72.574212,-0.0052,100.4933,0,277.435,338.991,339.725,1022.259,0,0
,,995,20.87231141,125.26767,0.00741809,0.10472594,1.002035,1.001018,72.692806,-0.0051,100.4933,0,277.439,338.961,339.682,1022.269,0,0
,,996,20.87208296,122.185146,0.00737216,0.10440146,0.999953,1.00016,72.48809,-0.0052,100.4944,0,277.439,338.939,339.71,1022.263,0,0
,,997,20.87379745,121.444955,0.0073855,0.10406955,1.001084,0.999288,72.576054,-0.0053,100.494,0,277.425,338.912,339.668,1022.255,0,0
,,998,20.87480566,122.831426,0.00736766,0.10365792,0.999457,0.99842,72.513276,-0.0053,100.4943,0,277.444,338.89,339.713,1022.251,0,0
,,999,20.87507275,123.627914,0.00734501,0.10327545,0.998873,0.997994,72.345264,-0.0053,100.4936,0,277.443,338.888,339.72,1022.263,0,0
,,1000,20.87649606,125.586874,0.00733504,0.10243911,0.998211,0.998141,72.29824,-0.0053,100.4938,0,277.423,338.849,339.672,1022.264,0,0
,,1001,20.87647871,126.405914,0.00729599,0.10215566,0.998368,0.998321,72.47045,-0.0053,100.4939,0,277.438,338.795,339.617,1022.257,0,0
,,1002,20.8760101,123.54029,0.00729176,0.10158511,0.999622,0.998536,72.439318,-0.0054,100.493,0,277.441,338.742,339.543,1022.26,0,0
,,1003,20.87759028,125.405259,0.00730841,0.10136725,1.000163,0.998787,72.617233,-0.0054,100.493,0,277.436,338.702,339.469,1022.269,0,0
,,1004,20.87872697,121.533781,0.00723925,0.10118192,1.000185,0.999027,72.521485,-0.0053,100.4933,0,277.433,338.638,339.419,1022.271,0,0
,,1005,20.87901031,126.505825,0.00719206,0.10032909,1.000755,0.99928,72.50941,-0.0053,100.4942,0,277.435,338.576,339.353,1022.286,0,0
,,1006,20.88038696,127.730501,0.00717827,0.09993197,1.00094,0.999536,72.417944,-0.0054,100.4935,0,277.453,338.518,339.308,1022.476,0,0
,,1007,20.88028797,125.765915,0.00718537,0.09918831,1.00002,0.999784,72.330838,-0.0055,100.4938,0,277.442,338.461,339.211,1022.367,0,0
,,1008,20.88151869,123.945133,0.00721726,0.09911509,1.001019,1.000044,72.499394,-0.0053,100.4939,0,277.445,338.419,339.17,1022.33,0,0
,,1009,20.88233765,126.499733,0.00733234,0.09881311,1.001294,1.000307,72.465669,-0.0053,100.4945,0,277.449,338.394,339.224,1022.342,0,0
,,1010,20.88278491,129.760379,0.00746192,0.09867846,1.001771,1.000554,72.544005,-0.0053,100.4936,0,277.448,338.354,339.186,1022.417,0,0
,,1011,20.88447534,129.328416,0.00761051,0.09783591,1.001444,1.000847,72.346979,-0.0052,100.4931,0,277.449,338.307,339.127,1022.366,0,0
,,1012,20.88461722,122.812995,0.00783088,0.09752667,1.00172,1.001118,72.439107,-0.0054,100.494,0,277.464,338.274,339.11,1022.377,0,0
,,1013,20.88403722,122.685541,0.00806248,0.09683181,1.002819,1.001371,72.463232,-0.0054,100.4926,0,277.476,338.247,339.097,1022.387,0,0
,,1014,20.88515108,126.392067,0.00829663,0.09632321,1.002212,1.001665,72.313528,-0.0054,100.4938,0,277.474,338.2,338.995,1022.384,0,0
,,1015,20.88629309,129.209602,0.00850362,0.09632924,1.00235,1.001937,72.213305,-0.0055,100.4926,0,277.46,338.156,338.923,1022.387,0,0
,,1016,20.88670713,125.4487,0.0086477,0.09582837,1.003251,1.002169,72.533492,-0.0053,100.4931,0,277.465,338.127,338.914,1022.396,0,0
,,1017,20.88681514,122.906651,0.00872197,0.09534216,1.003539,1.002441,72.279261,-0.0055,100.4938,0,277.489,338.108,338.902,1022.39,0,0
,,1018,20.8880708,122.637006,0.00885008,0.09452462,1.003958,1.00265,72.330911,-0.0054,100.493,0,277.484,338.067,338.922,1022.369,0,0
,,1019,20.88786119,127.753077,0.00896637,0.09403122,1.004258,1.002875,72.639139,-0.0055,100.493,0,277.487,338.051,338.85,1022.365,0,0
,,1020,20.88796158,126.159017,0.00913444,0.09381099,1.00325,1.003104,72.558132,-0.0054,100.4939,0,277.482,338.024,338.841,1022.361,0,0
,,1021,20.88973618,122.526661,0.00926274,0.09361281,1.004121,1.003328,72.320976,-0.0055,100.4933,0,277.478,338.003,338.844,1022.331,0,0
,,1022,20.89064154,124.933709,0.00934014,0.09334373,1.00451,1.003561,72.314609,-0.0054,100.4935,0,277.477,338.003,338.89,1022.343,0,0
,,1023,20.89070402,124.856643,0.00943181,0.09247779,1.004748,1.003751,72.346885,-0.0054,100.4941,0,277.475,338.006,338.91,1022.349,0,0
,,1024,20.88926125,122.699902,0.00955237,0.09210017,1.005455,1.003937,72.729791,-0.0054,100.4939,0,277.487,337.978,338.893,1022.337,0,0
,,1025,20.88792543,126.958871,0.00966432,0.09138447,1.005395,1.004144,72.347463,-0.0054,100.4935,0,277.481,337.952,338.867,1022.342,0,0
,,1026,20.88800033,128.630049,0.00971784,0.09139032,1.005906,1.00432,72.31084,-0.0054,100.4933,0,277.47,337.924,338.875,1022.33,0,0
,,1027,20.88852282,128.362089,0.00964985,0.09108163,1.00423,1.004466,72.415397,-0.0052,100.4931,0,277.477,337.874,338.795,1022.341,0,0
,,1028,20.88876053,122.735081,0.00960055,0.09077167,1.004126,1.004631,72.299132,-0.0054,100.4933,0,277.477,337.841,338.751,1022.336,0,0
,,1029,20.88868471,122.763206,0.00952833,0.08995441,1.005141,1.004776,72.038204,-0.0052,100.494,0,277.483,337.799,338.732,1022.32,0,0
,,1030,20.88983192,126.846262,0.00952126,0.08965915,1.005962,1.004887,72.480117,-0.0053,100.4935,0,277.487,337.753,338.643,1022.337,0,0
,,1031,20.889787,123.710588,0.00959971,0.08906471,1.005952,1.005041,72.148904,-0.0053,100.4933,0,277.483,337.731,338.645,1022.359,0,0
,,1032,20.89011954,124.224819,0.00974778,0.08911483,1.006125,1.005113,72.137861,-0.0053,100.4942,0,277.488,337.705,338.604,1022.352,0,0
,,1033,20.89057358,125.783054,0.00989491,0.08881883,1.005602,1.005172,72.188393,-0.0052,100.494,0,277.468,337.649,338.56,1022.352,0,0
,,1034,20.89076732,121.350358,0.01003988,0.08855222,1.00603,1.005257,72.390941,-0.0053,100.4939,0,277.476,337.624,338.503,1022.376,0,0
,,1035,20.89223072,126.949552,0.01019573,0.08803171,1.006054,1.005308,72.558486,-0.0053,100.493,0,277.484,337.581,338.483,1022.398,0,0
,,1036,20.89212785,126.194575,0.01034839,0.08742576,1.006581,1.005399,72.233634,-0.0053,100.4937,0,277.461,337.542,338.46,1022.396,0,0
,,1037,20.89179191,124.210513,0.0105317,0.08741376,1.006657,1.005442,72.214547,-0.0054,100.4939,0,277.47,337.524,338.475,1022.398,0,0
,,1038,20.89217834,120.975916,0.01068928,0.08706806,1.006992,1.005464,72.227928,-0.0055,100.4937,0,277.465,337.495,338.409,1022.393,0,0
,,1039,20.89255579,120.970054,0.01080357,0.08703301,1.006211,1.00549,72.160832,-0.0055,100.4932,0,277.472,337.453,338.3,1022.385,0,0
,,1040,20.89270412,120.769676,0.01093233,0.08617356,1.00681,1.005496,72.213841,-0.0055,100.4935,0,277.456,337.396,338.288,1022.376,0,0
,,1041,20.89250507,128.810328,0.01103968,0.0858536,1.007046,1.005462,72.065561,-0.0054,100.4941,0,277.464,337.363,338.232,1022.364,0,0
,,1042,20.89269967,127.316233,0.01113654,0.08571801,1.006156,1.00546,72.26229,-0.0053,100.4937,0,277.467,337.345,338.247,1022.357,0,0
,,1043,20.89352697,126.108465,0.01124323,0.08515426,1.006782,1.005388,72.235291,-0.0055,100.4932,0,277.473,337.339,338.273,1022.358,0,0
,,1044,20.89420166,128.41754,0.01127652,0.08519346,1.006496,1.005298,72.17251,-0.0055,100.4931,0,277.459,337.308,338.233,1022.339,0,0
,,1045,20.8945921,123.968817,0.01123169,0.08482399,1.006236,1.005219,72.113642,-0.0054,100.4922,0,277.455,337.308,338.251,1022.319,0,0
,,1046,20.89462813,125.946595,0.01116401,0.08443708,1.004883,1.005111,72.308102,-0.0052,100.4933,0,277.444,337.265,338.196,1022.316,0,0
,,1047,20.89434985,124.319244,0.01108958,0.08423474,1.005674,1.004987,72.211768,-0.0053,100.4927,0,277.444,337.233,338.152,1022.313,0,0
,,1048,20.89375729,122.113155,0.01096906,0.0835617,1.006509,1.004844,72.09341,-0.0054,100.493,0,277.449,337.199,338.121,1022.299,0,0
,,1049,20.89383028,129.586929,0.01089976,0.08350454,1.005156,1.004649,72.128592,-0.0055,100.4929,0,277.464,337.141,338.095,1022.3,0,0
,,1050,20.89589634,129.405924,0.01076732,0.08385276,1.004145,1.00447,72.317741,-0.0055,100.493,0,277.456,337.129,338.109,1022.282,0,0
,,1051,20.89660208,124.49594,0.01064416,0.08319886,1.005093,1.00423,72.197883,-0.0052,100.4926,0,277.468,337.144,338.151,1022.268,0,0
,,1052,20.89657188,125.461241,0.01053549,0.08278313,1.004858,1.003967,72.245837,-0.0054,100.4928,0,277.453,337.128,338.127,1022.252,0,0
,,1053,20.89621762,125.104865,0.01040563,0.08239164,1.005064,1.003723,72.270217,-0.0054,100.493,0,277.45,337.116,338.095,1022.241,0,0
,,1054,20.89719614,124.092804,0.0103373,0.0819336,1.003907,1.003422,71.982808,-0.0054,100.4933,0,277.466,337.093,338.086,1022.239,0,0
,,1055,20.89784096,127.608057,0.01028679,0.08199819,1.003915,1.003114,72.056726,-0.0054,100.4929,0,277.465,337.073,338.059,1022.233,0,0
,,1056,20.89829401,125.117365,0.01025479,0.08190585,1.00298,1.002792,72.040537,-0.0054,100.4926,0,277.453,337.027,338.039,1022.225,0,0
,,1057,20.89909996,123.33572,0.01022683,0.08146512,1.003428,1.002422,72.177128,-0.0054,100.4934,0,277.461,336.998,338.05,1022.215,0,0
,,1058,20.90019257,120.874856,0.01021495,0.08119743,1.002871,1.00204,72.149608,-0.0053,100.4925,0,277.445,337.021,338.053,1022.232,0,0
,,1059,20.90003327,125.097937,0.01027985,0.08107925,1.002885,1.001614,71.898714,-0.0052,100.492,0,277.462,337.001,338.014,1022.205,0,0
,,1060,20.90062403,124.920847,0.01032111,0.08111542,1.001639,1.001144,72.104287,-0.0053,100.4922,0,277.443,336.967,338.012,1022.212,0,0
,,1061,20.90171847,126.860183,0.01034455,0.08069093,1.000991,1.00071,71.963,-0.0055,100.4931,0,277.432,336.928,338.029,1022.226,0,0
,,1062,20.90229628,122.761294,0.01033221,0.0807403,0.999574,1.000259,72.145411,-0.0055,100.4923,0,277.451,336.908,338.044,1022.22,0,0
,,1063,20.9024903,128.693675,0.01024569,0.08027085,0.999521,0.999762,72.131311,-0.0056,100.4935,0,277.46,336.901,338.062,1022.212,0,0
,,1064,20.90243445,122.681938,0.01015649,0.07974134,0.999699,0.999318,72.038831,-0.0054,100.493,0,277.459,336.904,338.031,1022.227,0,0
,,1065,20.9025494,122.05773,0.01008452,0.07953072,0.999617,0.99881,71.92653,-0.0052,100.4928,0,277.452,336.87,338.056,1022.237,0,0
,,1066,20.90324441,124.512091,0.01003378,0.07955849,0.999396,0.998333,71.891178,-0.0054,100.4928,0,277.446,336.837,338.015,1022.251,0,0
,,1067,20.90392309,124.084161,0.00998511,0.07983689,0.998648,0.997852,72.254325,-0.0054,100.4932,0,277.449,336.811,337.983,1022.274,0,0
,,1068,20.90428634,127.533419,0.0099346,0.07947015,0.997448,0.997311,72.095271,0.0057,100.4936,0,277.448,336.775,337.94,1022.272,0,0
