Time (s),HRR (kW/m2),MLR (g/s),Specimen mass (g)
864,37.320486941972604,0.0424674166666676,72.67746899999999
865,37.596982398574,0.004095916666667421,72.676144
866,36.5551405947219,-0.0232391666666665,72.66852
867,35.810515966487,-0.0562374166666698,72.719314
868,34.468235850373304,0.0830728333333361,72.743959
869,34.446505843728,-0.0265389166666689,72.604807
870,34.1452964191372,0.10810633333333099,72.749338
871,33.9682383864988,0.0450022500000079,72.44387900000001
872,34.077832038927,-0.504687083333335,72.753811
873,34.1753123686129,0.10770549999999302,73.18061800000001
874,34.0471291607761,0.49953683333333293,72.587005
875,33.0781144462678,0.0082912500000063,72.40189699999999
876,33.6885233921535,-0.232923333333331,72.518485
877,34.3444017741609,0.0716886666666656,72.731953
878,34.1034729547672,0.12730766666666601,72.432373
879,33.5660120749678,-0.24642575,72.573265
880,34.627185994238204,0.0144664166666691,72.776673
881,34.816121672738596,0.325655583333331,72.52924399999999
882,34.7530861369251,0.12418783333333601,72.25380200000001
883,35.69650205868629,-0.137695083333333,72.298164
884,35.657146309148004,0.0849747499999959,72.418287
885,34.9271559723654,0.0129103333333364,72.19278299999999
886,34.8812083791001,-0.226003750000005,72.430451
887,35.5234849199386,-0.0848984999999966,72.5504
888,34.7616229120466,0.192956333333335,72.567178
889,34.1870808583784,0.0622885833333283,72.26781700000001
890,33.7461606109762,-0.261295083333331,72.485263
891,32.9149344231039,0.0542555833333319,72.642543
892,32.7950270583209,0.10930383333333198,72.429445
893,32.2324469061629,-0.0110571666666696,72.47234
894,31.7225628979979,-0.0613171666666664,72.435285
895,32.1484410892377,0.0500209999999998,72.556577
896,30.912019133509997,0.0183118333333354,72.367535
897,30.680853550904605,-0.0632541666666645,72.530592
898,30.663347342358797,0.0593327499999946,72.447147
899,29.767052025492703,0.0892759166666674,72.434423
900,30.231704663625603,-0.0777924166666584,72.310176
901,30.551421836096697,0.12314408333333099,72.506135
902,29.617353672346898,0.26789516666666197,72.087334
903,29.1866613024216,-0.308297916666666,72.129416
904,28.8858580089253,-0.0237507500000026,72.511166
905,28.3364566702355,0.13275291666666197,72.197216
906,27.980179245419198,-0.14166508333332598,72.344725
907,27.652331391350497,0.0127742500000008,72.390923
908,27.3744010661012,-0.064841833333342,72.36084100000001
909,27.0910495710734,0.0550613333333369,72.479435
910,25.9553031549136,0.0727566666666715,72.27471899999999
911,25.7994006442802,-0.0457525000000049,72.36268299999999
912,26.278292157701603,0.138039166666667,72.29990500000001
913,25.8031265307582,0.134556999999999,72.131893
914,25.377883191602802,-0.0896205000000011,72.084869
915,25.2755896434272,-0.071387916666661,72.257079
916,24.972946193722,-0.0792515833333347,72.22594699999999
917,24.5766327792312,-0.0515313333333296,72.403862
918,24.335835154611896,0.0701008333333301,72.308114
919,24.7723882542526,0.0451610833333286,72.29603900000001
920,23.963352895329102,0.117207083333336,72.204573
921,23.325206350363196,-0.0579450833333262,72.117467
922,23.202065204502002,-0.0793822500000019,72.286023
923,24.2123462046003,-0.0283955833333375,72.252298
924,25.2876927915009,0.0741027500000015,72.330634
925,25.1974670613701,0.0697289166666621,72.133608
926,24.332579602417002,-0.0967084166666687,72.225736
927,24.240887718660396,0.07257983333333701,72.249861
928,24.7476079221781,0.17448341666666797,72.100157
929,24.4528477030973,-0.16197358333332698,71.999934
930,24.1691977289261,-0.0425220833333348,72.320121
931,23.7211746802563,0.170540166666664,72.06589
932,23.4691652249958,-0.237865333333327,72.11754
933,23.8557375669232,-0.148004416666668,72.425768
934,22.9738887954701,0.210750166666665,72.344761
935,22.7322646541988,0.137994166666664,72.107605
936,23.0971115381158,-0.00296774999999864,72.101238
937,22.8989445819098,-0.27458075000000304,72.133514
938,22.490865520471303,-0.000699416666671245,72.51642
939,22.8719543238802,0.28501000000000604,72.13409200000001
940,23.143366010444304,-0.0811775833333321,72.09746899999999
941,23.0160391861333,-0.0179662500000018,72.202026
942,22.123554908174,0.265568416666672,72.085761
943,21.770572766321102,-0.14286441666667002,71.824833
944,21.975614187670498,-0.0872392500000044,72.266746
945,21.738217024675997,0.24068641666667104,71.93553299999999
